location,company,avg_salary,avg_rating
"Spring House, PA",Johnson & Johnson,156400.0,4.2
"Springfield, VA 22150",CACI,210900.0,3.8
"St. Louis, MO",NTT DATA,130249.6,3.5
"St. Louis, MO 63101",NTT DATA,130249.6,3.5
"St. Louis, MO 63132",Confluence Genetics LLC,168558.82962450592,0.0
"Sterling, VA 20166",Collins Aerospace,136000.0,3.6
"Sunnyvale, CA",Amazon,179700.0,3.5
"Sunnyvale, CA",Apple,242237.5,4.1
"Sunnyvale, CA",Google,200600.0,4.3
"Sunnyvale, CA",Peloton,153250.0,4.8
"Sunnyvale, CA 94085",Bosch Group,270000.0,4.0
"Sunnyvale, CA 94085",Fiserv,168700.0,3.3
"Sunnyvale, CA 94085","Fiserv, Inc.",168700.0,3.3
"Sunnyvale, CA 94086",Walmart,195000.0,3.4
"Sunnyvale, CA 94089",Meta,178625.0,4.1
"Sunnyvale, CA 94089",Walmart,214500.0,3.4
"Tampa, FL 33601",Citi,129900.0,3.9
"Tampa, FL 33610",Suncoast Credit Union,95000.0,3.8
"Tempe, AZ",ADP,113565.0,3.8
"Tempe, AZ",RevolutionParts,95000.0,2.8
"Tempe, AZ 85281",Deloitte,185900.0,3.9
"Titusville, FL",Johnson & Johnson,156400.0,4.2
United States,AbsoluteCARE Medical and Pharmacy,168558.82962450592,2.4
United States,Airbnb,274500.0,4.2
United States,Altria,162450.0,4.0
United States,Articul8,168558.82962450592,0.0
United States,BBCMGTai LLC,168558.82962450592,5.0
United States,BetaNXT Inc,168558.82962450592,3.0
United States,DNS Solutions Inc.,285000.0,0.0
United States,Deloitte,177229.41481225297,3.9
United States,Grid Dynamics,168558.82962450592,3.4
United States,Handshake,161200.0,3.7
United States,KIGO LLC,168558.82962450592,2.3
United States,Microsoft,188900.0,4.2
United States,Oracle,168558.82962450592,3.8
United States,Sleeper,187200.0,3.0
United States,TSP LLC,105000.0,0.0
United States,Teleskope,67500.0,0.0
United States,TextLayer,125000.0,0.0
United States,The Standard,168558.82962450592,3.5
"Vienna, VA 22180",Navy Federal Credit Union,168558.82962450592,3.8
"Vienna, VA 22182",Amentum,168558.82962450592,3.8
Virginia,CrowdStrike,125000.0,3.7
"Warren, NJ 07059","Everest Re Group, Ltd.",200000.0,3.5
Washington State,"Red Hat, Inc.",169470.0,4.0
"Washington, DC",Andrew Morgan,168558.82962450592,5.0
"Washington, DC","Bluehawk, LLC",168558.82962450592,3.4
"Washington, DC",Booz Allen,90600.0,3.9
"Washington, DC",Splunk,190095.0,4.1
"Washington, DC",The Knot Worldwide,168558.82962450592,3.4
"Washington, DC 20001",Cherokee Federal,168558.82962450592,3.1
"Washington, DC 20001","Onyx Government Services,LLC",168558.82962450592,4.5
"Washington, DC 20003",Greystones Consulting Group LLC,130000.0,0.0
"Washington, DC 20005",Center For Democracy Technology,97500.0,0.0
"Washington, DC 20006",MetroStar,155500.0,4.3
"Washington, DC 20007",Georgetown University,153250.965,4.1
"Washington, DC 20022","CGI Group, Inc.",169380.0,3.6
"Washington, DC 20032",QinetiQ US,168558.82962450592,3.7
"Washington, DC 20036",Improvix Technologies,168558.82962450592,5.0
"Washington, NC",Infosys,70700.0,3.8
"Wellesley, MA 02481",CVS Health,126428.0,3.2
"West Des Moines, IA 50265",The Mutual Group,168558.82962450592,0.0
"Westwood, MA",EVERSOURCE,165765.0,3.5
"Wichita, KS 67201",Koch Engineered Solutions,168558.82962450592,3.6
Wisconsin,Collins Aerospace,123000.0,3.6
Wisconsin,Harley-Davidson,168558.82962450592,3.6
"Woodbridge, NJ 07095",Plymouth Rock Assurance Corporation,124500.0,3.4
"Woodbridge, VA",DataAnnotation,83200.0,3.8
"Woonsocket, RI 02895",CVS Health,122155.83333333333,3.2000000000000006
"Wright-Patterson AFB, OH",Epsilon Systems Solutions Inc,168558.82962450592,3.7
"Yardley, PA 19067",EVERSANA,130000.0,2.7
